turnover_id,payee_payer_name,holder_name
c9758050-57b9-11ec-b2da-2a30d108fbd1,Deutsche Klassenlotterie Berlin Rechtsf Anstalt D Or,Margaret Und Ella Herrmann
c1bed730-6f4c-11ec-e530-295c10911967,,Pauline Karge
6270f880-09ee-11ec-d3dd-558b5252bc71,Nikolai Scholz,Nikolai Scholz
b892f151-e54d-4cdc-ad3b-bb49c6f10164,Laura Hauser,LAURA HAUSER
77af9860-4cb9-11ec-2d45-7d34942a4671,Stilla Regina Rust,Stilla Regina Rust
b41ac4b0-99bb-11ec-7f50-4c74d76ddfe3,Lidl Dienstleistung Gmbh Und Co Kg,Ullrich Scheel
89b104b0-98f2-11ec-40a5-17ac74eac725,Udo Oder Niklas Tomiak,Korbinian Hellwig
28d98750-384b-11ec-a0d9-66676acc4bb4,,Konstanze Und Kazim Holt
c95e27c0-57b9-11ec-1557-3a54dea62025,Kik,Gertrud Binner
1203010a-69e1-49e9-88f8-6927afc62874,Bundesagentur Hanne Arbeit Service Mans,Georgios Berger
a21ab7f0-4d82-11ec-a7f3-9370b1da4b09,Stilla Regina Rust,Stilla Regina Rust
d9eb2b10-a8a9-11ec-f85b-ad4b34fc410f,Krista Barutcu,Hans-Bernd Wieloch
f0daa8f0-61f0-11ec-64d4-a044d9f7c861,Jet Dankt Franz-Xaver Ihren Hoffmann,Konstanze Und Kazim Holt
5f354350-9829-11ec-eb07-62ce6a6901c8,Grete Mohaupt,Grete Mohaupt
13835f90-7a4d-11ec-677a-cc86842367e0,Swetlana Weller,Swetlana Weller
b892f151-e54d-4cdc-ad3b-bb49c6f10174,Maik Wosniak,M. Wosniak
a7dcc350-bf73-11ec-0537-31967b265e84,Mario Drewes,Mario Drewes
deacd570-15b7-11ec-a0aa-93b567bfacca,Wuestenrot Bausparkasse A G,Margarita Gröttner
aca17af0-2c81-11ec-1efa-2fc85d2faf26,Carmine Und Peggy Schinke,Carmine Und Peggy Schinke
ef3bad80-66a7-11ec-fed8-887b879e0ca0,Saarbrueck 0090 27,Luisa Aleksandra Reza Lissi Fischer
e00808e0-95cd-11ec-0769-b74d0def5476,Spielwaren Schweiger Gmbh,Korbinian Hellwig
8e341730-8acd-11ec-7807-22fe20f1114f,Frankfurter Volksbank Eg,Till Schuchhardt
c1cfa010-6f4c-11ec-8aaa-18a3f4f31e19,E Plus Service Gmbh E Plus Strasse 1,Hans-Michael Hendriks
663e7db6-40a7-4371-b900-f2ee948e6d27,Rewe,Winfried Wilms
4ebdeae0-4739-11ec-e44d-016f15a26078,Carmine Und Peggy Schinke,Carmine Und Peggy Schinke
b892f151-e54d-4cdc-ad3b-bb49c6f10184,Nathan Christin Zomniak,"Nathan, Christin Zomniak"
56149170-b473-11ec-8ae4-adb8a3431e15,Hakan Songül Und Frau Rogner,Silke Drub
b1134720-a329-11ec-18db-f067e6c013e5,Vincenzo Mangold,Vincenzo Mangold
2baa5c40-b3aa-11ec-7bd2-fb08038e9e5c,Mario Drewes,Mario Drewes
a4d67e40-c8e1-11ec-78f1-f3a8d5e00ad4,Mig Gmbh U Co Fonds Kg,Käthe Finke
6b684830-7271-11ec-b099-80aab3ab3c0c,New Yorker15871,Wolfgang Bloch
9d66f880-5ba7-11ec-8831-cda198709557,Baeckerei Eigenwillig,Ayten Siering
9d83f660-5ba7-11ec-e355-3f80f6040e74,Landesbank Karl-Georg Wuerttemberg,Anka Scheel
6802dfe4-672d-40e4-81fa-b3151e56e257,Emslaendische Volksbank Eg,Lucia Hertrampf
b892f151-e54d-4cdc-ad3b-bb49c6f30394,Marcus Hofpfister,Marcus Hans-Peter Hofpfister
bb439e43-dcf7-4cb0-8ada-62e9556a6e9b,Wuertt Versicherg A G,Winfried Wilms
9d83f660-5ba7-11ec-9eb9-ae4ed08a65c0,Landesbank Gretchen Wuerttemberg,Eugenia Putz
83bbb450-2701-11ec-f4ac-67a8c77efc88,Amazon Payments Europe S C A,Iwan Und Hedi Sager
8cb8f770-8f84-11ec-93cd-bd82ae3bd028,Esprit Online Shop,Aloisia Schottin
89f05900-8ec6-4ee2-b9a8-aed56ac03239,Techniker Krankenkasse,Lucia Hertrampf
b89e4c60-8b96-11ec-f9b4-83d15e194c6e,Bundesagentur Hanny Arbeit Service Dehmel,Theres Fischer
d7106b10-2d4a-11ec-182c-0365658135c5,Zweckverband Wasserversorgung Und Abwasser Entsorgung Altenburger Drub,Anka Scheel
9d746600-5ba7-11ec-7624-1eba8bebcfb6,Wuerttembergische Versicherung Ag,Alfred Ruppersberger
934ba9ff-5447-46d2-827c-68e97c3030cf,Bundesagentur Nadja Arbeit Service Stumpf,Agnieszka Ackermann
22bad4c0-4b27-11ec-6abd-5a27f3aee6ba,Lidl,Jacek Benthin
3ae3a630-8484-11ec-56c9-cf5e5b541d49,Elzbieta Ackermann,Elzbieta Ackermann
6e703af0-6903-11ec-a995-1ba7e39b6bd7,Danke 23101 Marktkauf Moege,Vincenzo Gröttner
414548b7-fab6-4554-aadc-b985dd27e102,Rewe Markt Gmbh,Lucia Hertrampf
a075f020-5239-11ec-f108-482e3eac8168,Bettina Löwer,Bettina Löwer
fb5b4930-c5bc-11ec-218c-7f7bf73ee853,Sportbad Tatami,Ullrich Scheel
b892f151-e54d-4cdc-ad3b-bb49c6f10124,Herr Wolfgang und Frau Agnes Col,Agnes Colbert
5f34ce20-9829-11ec-827f-75429ec47694,Alfred Jacobi Jäckel,Alfred Jacobi Jäckel
f04ea9a1-50d6-4a51-b01a-4dc6a13686c3,Anastasios Hauffer,Lucia Hertrampf
57d1f290-2aef-11ec-b661-bd16c0f09b13,Targobank Visa Dd Extern,Eugenia Putz
4d151829-d295-4766-a337-6527a36fb398,Rewe Markt Gmbh,Maren Hecker
792fc130-4802-11ec-bb2c-9135264617d8,Bald Automobile Gmbh,Stilla Regina Rust
e61cd060-82f1-11ec-8402-b7b13a7b35a5,Ergo Versicherung Ag,Anna-Maria Scheuermann
823793e0-2bb8-11ec-f3b1-cce3d2656122,Deutsche Klassenlotterie Berlin Rechtsf Anstalt D Or,Konstanze Und Kazim Holt
70223976-7504-4586-9369-87fc61e72260,Kfw Frankfurt,Agnieszka Ackermann
d2814aa0-3b6f-11ec-a421-0433d397bbba,Carmine Und Peggy Schinke,Carmine Und Peggy Schinke
854293e0-224a-11ec-35ca-f961df614c0c,Bundeskasse Trier Dienstsitz Kiel,Eugenia Putz
302323e5-c33d-424c-a9ac-7d7342cf7713,Bundesagentur Vesna Arbeit Service Römer,Reingard Henk
51b5d810-3dcb-11ec-78d3-4f009c9f3cbb,Anastasios Kraushaar,Danica Ruppersberger
19d66890-6771-11ec-f65a-c372ba6148ac,Stilla Regina Rust,Stilla Regina Rust
18182550-6c28-11ec-dbff-4fa5620f002a,Erik Ronny Geisler,Erik Ronny Geisler
b892f151-e54d-4cdc-ad3b-bb49c6f10196,Stefan und Ulrike Steffens,Stefan und Ulrike Adenauer
db979c40-1f25-11ec-1769-92200334a9bc,Alte Stadt Apotheke,Calogero Martin
6e6eb450-6903-11ec-6a9d-64f321a8ecba,,Anna-Maria Scheuermann
1509a2e0-7596-11ec-1ba3-8c10cb471c89,Wuestenrot Bausparkasse A G,Hinrich Schleich
854022e0-224a-11ec-d9d2-db1cc0b10dfc,,Adem Müller
18550740-6c28-11ec-1649-74213bff0fc5,Ikea Deutschland Gmb,Stilla Regina Rust
e0085700-95cd-11ec-dfb9-1277fa6c53a3,Katarzyna Sportverein Nuernberg,Philomena Schaaf
5647deb0-2fa6-11ec-2802-2454bd8f3d1d,Stilla Regina Rust,Stilla Regina Rust
b892f151-e54d-4cdc-ad3b-bb49c6f10191,Hans Wurst,HansWurst
c66c5510-6127-11ec-ad06-7115877eb95c,Tf Heinz Dieter Ab,Lydia Drub
a9215640-8b4d-4be8-9312-212b83617d27,Bundesagentur Traudl Arbeit Service Dörr,Wulf Geißler
e62caee0-82f1-11ec-63db-fb591a40605f,Lidl Dienstleistung Gmbh Und Co Kg,Hans-Michael Hendriks
5f445e80-9829-11ec-b776-7712e2d3d521,Psv Dusan E V,Ullrich Scheel
bbbb26b0-8228-11ec-89fe-54119f37289e,Reginald Setz,Luisa Aleksandra Reza Lissi Fischer
945fc210-77f1-11ec-9dce-69dcc831725c,Handwerksk Des Saarlandes,Hans-Michael Hendriks
b892f151-e54d-4cdc-ad3b-bb49c6f10192,"Mann, Tomas",Tomas Mann
428df340-6cf1-11ec-395c-d9f46ba9de04,Zurich Life Assurance Public Limited Company,Luisa Aleksandra Reza Lissi Fischer
b1134720-a329-11ec-14c0-57e01acf6361,Ullrich Scheel,Ullrich Scheel
760a3450-5170-11ec-eed8-36362023f4fd,Reginald Setz,Luisa Aleksandra Reza Lissi Fischer
7aa9cf80-434b-11ec-9a55-75ab0b3bbca5,Ortmann,Calogero Martin
e6111090-82f1-11ec-231d-0ee1081a51e8,Competo Bestand Plus Ebehardhofe Gmbh Co Kg,Theres Fischer
07614aa0-a005-11ec-8a26-a6088e48f1af,Emslaendische Volksbank Eg,Guenther Jessel
20f39174-3d96-45fa-9fbc-aa3db5d60d5c,Landesoberkasse Jacqueline Wuerttemberg Lbv Ba Wue,Lucia Hertrampf
b892f151-e54d-4cdc-ad3b-bb49c6f10195,Stefan und Ulrike Steffens,UlrikeSteffens
ae296bf0-27ca-11ec-b9e1-7e80365edcd6,Waltraut Hahn,Lydia Drub
5f42b0d0-9829-11ec-4af6-b69a2b06f315,Ga Nr00002029 Blz83050200 7,Ullrich Scheel
760b93e0-5170-11ec-1250-17a1a995f70d,Deutsche Post Ag,Cornelia Kroker
839622b0-abce-11ec-3674-08fbaae58085,Bundesagentur Leokadia Arbeit Service Oderwald,Guenther Jessel
4ebf9890-4739-11ec-06f1-4004c9ff3b98,Deutsche Klassenlotterie Berlin Rechtsf Anstalt D Or,Toni Und Pirmin Pechel
0ef577a0-8872-11ec-001b-65b25b23259c,"Amazon Eu S A R L , Niederlassung Deutschland",Vincenzo Mangold
b892f151-e54d-4cdc-ad3b-bb49c6f10199,Herr Dr. Markus Reichhardt,Markus Reichhardt
f213fc80-e206-11ec-982a-1f3e9abec274,Debitor Inkasso Gmbh,Fritz Mende
37e50240-8df2-11ec-3365-a44a6c9efc51,Udo Oder Niklas Tomiak,Korbinian Hellwig
b892f151-e54d-4cdc-ad3b-bb49c6f10193,"Mann, Philip Tomas",TomasMann
5f34ce20-9829-11ec-d485-e9c1c57bc35a,Rolf-Peter Schaaf,Rolf-Peter Schaaf
d9fc4210-a8a9-11ec-bd82-e1f6e2f8a328,Schatzhohle Hecker,Ullrich Scheel
564a28a0-2fa6-11ec-53a2-fd21d139b149,Reinhard Schleich,Carmine Und Peggy Schinke
2a26b100-b861-11ec-f554-949e3e1e3523,Volksbank Tilly Eg,Käthe Finke
b892f151-e54d-4cdc-ad3b-bb49c6f10294,Nele Wollershausen,"Nele Frida Wollershausen, Marcel Kunde"
3afb4ce0-8484-11ec-0dee-fb5b8f9159e4,Itzehoer Lebensvers,Patrizia Faust
c28024d6-75c5-45ba-89b9-5ced5b4d8b43,Aldi,Lina Schweitzer
a08d6fc0-5239-11ec-9af4-b62ae246015e,Nikolaj 1 Dietz,Iwan Und Hedi Sager
a8117020-3aa6-11ec-2559-8ae9f5e70e4a,,Nikolai Wernecke
5aad27c0-a64e-11ec-4dc8-ecf92a57565d,Aldi Gmbh Co Kg Radevormwald,Hans-Bernd Wieloch
37ddaf40-8df2-11ec-a816-9afc00ae9b0e,Stadt Berger,Ullrich Scheel
b892f151-e54d-4cdc-ad3b-bb49c6f10144,"Leopold, Muller",Leopold Mueller
b892f151-e54d-4cdc-ad3b-bb49c6f10194,Stefan und Ulrike Steffens,Ulrike Steffens
9eec0350-56f0-11ec-aab4-63dd846b584d,Woehrl Nuernberg Sagt Danke,Faruk Killer
1083d140-83bb-11ec-63eb-4cfcb6b3a7da,Cemil Tomiak 90480 Nurnb,Korbinian Hellwig
e625d110-82f1-11ec-664e-5719e4e4599d,Wuestenrot Bausparkasse Ag,Patrizia Faust
18182550-6c28-11ec-21be-085e50261420,Ard Zdf Dradio Beitragsserv,Faruk Killer
f6a65140-d3e1-11ec-b202-04ae6242be82,Wuestenrot Bausparkasse A G,Anthony Gotthard
40fd28a0-71a8-11ec-f44f-246d680e4671,Lastschrift Aus Kartenzahlung,Wolfgang Bloch
40fd9dd0-71a8-11ec-7ce1-7688e9a3c298,Myshisha St Fechner,Anna-Maria Scheuermann
94475810-77f1-11ec-4d1d-cd2d7f8970ef,Wuertt Versicherg A G,Till Schuchhardt
4101e390-71a8-11ec-f911-ed60b99461dc,Patrizia Faust,Patrizia Faust
08fe9860-9b4e-11ec-8531-ec933623b527,018 Hellweg Sagt Danke,Ayten Siering
f9eeb0a0-45a6-11ec-216a-53a25bf16e62,Stilla Regina Rust,Stilla Regina Rust
88195c40-9da9-11ec-6e62-766a6b65ea06,Birthe Elise Und Frau Trub,Hermann Mangold
b0fd7530-a329-11ec-081b-3a66fee9d7e2,Rolf-Peter Schaaf,Rolf-Peter Schaaf
f25ddf00-5d39-11ec-5934-c8c67db8a457,Toni Und Pirmin Pechel,Toni Und Pirmin Pechel
b892f151-e54d-4cdc-ad3b-bb49c6f10114,Herr Dr. Markus Reichhardt,Philipp Reichhardt
92c3acd0-7ca8-11ec-9255-feddbaf5e5b0,Western Union Online Ltd,Frithjof Herrmann
de8ebde0-9a84-11ec-abd0-d65449f6d8a4,Svenja Döring,Georgia Beckmann
31f07530-1c01-11ec-bfd1-b8ee813fb0f9,Lidl,Jacek Benthin
ae25c270-27ca-11ec-80c4-5124e4986188,,Edmund Wernecke
6e6f5090-6903-11ec-cb81-eaaf52a0989c,Sparkasse Neunkirchen,Anna-Maria Scheuermann
12102f10-7f04-11ec-9b8c-84cff41ff13e,Landkreis Metz,Patrizia Faust
bd2a86a0-7d71-11ec-a3d5-18b6ba6fb852,Swetlana Weller,Swetlana Weller
1809e5ec-ae51-4f6c-a9e7-6f0f7ae798a0,Minijob,Maren Hecker
d5891650-3201-11ec-d589-7f7e6bdb292f,Landesbank Berlin,Margaret Und Ella Herrmann
5f501e50-9829-11ec-e86d-e1213bc80f8a,Baeckerei Gillen Gmbh,Wolfgang Bloch
cb37b9ec-aa3f-4677-a4ce-71151c559018,Flatex Preiß,Agnieszka Ackermann
ef32acd0-66a7-11ec-400a-0fdfd96b0d33,Erik Ronny Geisler,Erik Ronny Geisler
2d355a80-aef3-11ec-bf86-f426fcbe03ef,,Lara Sager
ef574bd0-66a7-11ec-da37-6217f1d54ff5,Levobank,Konstanze Und Kazim Holt
7a9c13e0-434b-11ec-d478-c5242ca69488,Lastschrift Aus Kartenzahlung,Gertrud Binner
57d15650-2aef-11ec-1ca7-2000a6e9def8,Klapp,Eugenia Putz
a1fe0830-4d82-11ec-54bd-38d0ab017e88,Staatsoberkasse Bayern,Alfred Ruppersberger
76229e50-5170-11ec-2010-1b635be2bf85,Kühnert,Toni Und Pirmin Pechel
db97ea60-1f25-11ec-b264-3c6dac3f1e7b,Uschi Box,Calogero Martin
51b5d810-3dcb-11ec-213d-64ecaa6d570c,Lilo Werner,Otmar Schulz
564a4fb0-2fa6-11ec-2764-0d775902097f,Rewe Loni Käster,Iwan Und Hedi Sager
f2592410-5d39-11ec-5401-9f83dda2dc9d,Zoo24,Anka Scheel
d284a600-3b6f-11ec-d42c-ce92dc57d179,Stilla Regina Rust,Stilla Regina Rust
b892f151-e54d-4cdc-ad3b-bb49c6f10134,"Leopold, Müller",Leopold Schmitz
b892f151-e54d-4cdc-ad3b-bb49c6f10198,Stefan und Ulrike Steffens,"Steffens,Ulrike"
cae3f5e0-5302-11ec-872e-14fadef21480,,Lars Pieper
1b36d460-62ba-11ec-b1c2-5750fdc2b10d,,Holger Fanny Speer
5ab1bba0-a64e-11ec-7634-c0bfaeca463d,Wuertt Versicherg A G,Guenther Jessel
779077a0-4cb9-11ec-6f56-4d2a9c2de0c8,Telekom Deutschland Gmbh,Danica Ruppersberger
c9867040-57b9-11ec-ccc5-ab32b5e22e1c,Bundeskasse Dienstort Trier,Stilla Regina Rust
a0744270-5239-11ec-fa80-95d54f2ce503,Erik Ronny Geisler,Erik Ronny Geisler
d40766e0-36b8-11ec-e566-db0ab42c9194,Ga Nr00002180 Blz46050001 0,Stilla Regina Rust
2ebf4750-aa3c-11ec-8696-586dc16375e8,Aldi Sued Sagt Danke,Hans-Bernd Wieloch
22da43a0-4b27-11ec-ed79-928a00fa9362,Stilla Regina Rust,Stilla Regina Rust
25c44e20-41b9-11ec-3c2b-198ca4821da9,Restaurant Drachen,Hans-Michael Hendriks
22b97530-4b27-11ec-bf81-1e4dbaecb853,Kay-Uwe Bruder,Luisa Aleksandra Reza Lissi Fischer
28dc4670-384b-11ec-ff64-a2abc8dbe420,Amir Karz,Amir Karz
d710e040-2d4a-11ec-9765-a24c48fa2a88,Eugenia Putz,Eugenia Putz
199a49f0-6771-11ec-5046-5b4214a77574,,Robby Rogge
07ddec40-831e-437d-8c61-e8d1e257f41c,Paypal Europe S A R L Et Cie S C A,Agnieszka Ackermann
1b570690-62ba-11ec-88fc-2109efba8b7e,Stilla Regina Rust,Stilla Regina Rust
0efaa7c0-8872-11ec-17d7-bf716ec0780b,,Gero Preiß
1e296a60-594c-11ec-33fe-8663765f3ac8,Bundesagentur Fur Arbeit,Faruk Killer
9756ebf0-6e83-11ec-43de-6019430d5b1d,Bundeskasse In Weiden,Vincenzo Gröttner
c6709ad0-6127-11ec-f7ae-52dbd57700f8,Zalando,Margaret Und Ella Herrmann
15089170-7596-11ec-e780-955af19286b0,Darlehenszins,Antoinette Dobes
b892f151-e54d-4cdc-ad3b-bb49c6f10154,"Sabine, Macron",emmanuel macron
3c842840-7fcd-11ec-3c50-c2e1cf695c61,Esso Tankstelle,Hans-Michael Hendriks
e60f14c0-82f1-11ec-5331-a3852b85574c,Landkreis Altenburger Pölitz,Ullrich Scheel
19980000-6771-11ec-c713-0c798a75e8d2,Swetlana Weller,Swetlana Weller
0d763930-8d29-11ec-991c-e11a741a66b5,Online Payments Foundation,Birger Nadja Benthin
9d66aa60-5ba7-11ec-847f-23bb059c6a3d,00799 Mcdonalds,Ayten Siering
40fe3a10-71a8-11ec-89f9-8b9ba8f56109,Ga Nr00002058 Blz59252046 6,Wolfgang Bloch
6b60ce20-7271-11ec-f1df-30268433e4db,Elzbieta Ackermann,Elzbieta Ackermann
c7d91cf0-5c70-11ec-819b-83bd03db6482,Saarbruecken Globus Sbw,Luisa Aleksandra Reza Lissi Fischer
4ed39ee2-6422-47ae-aff8-1f0e123e6c39,Wuertt Versicherg A G,Wulf Geißler
5f45e520-9829-11ec-ee42-ca7190e28ff6,Metzgerei Berthold Linke,Philomena Schaaf
69dbc350-7728-11ec-7bfd-b6367fa4378e,Cemil Weller,Cemil Weller
63d9c080-8a04-11ec-1e03-e8dcf8c511cb,Amazon Payments Europe S C A,Anna-Maria Scheuermann
80a20610-b53c-11ec-a930-21c7eece11b3,Raiffeisen Warengesellschaft Mbh,Ullrich Scheel
d27786a0-3b6f-11ec-3b38-c88c3dfdc4ba,Generali Deutschland Krankenversicherung Ag,Alfred Ruppersberger
f563d5f0-53cb-11ec-89a2-08353ac32f2b,,Konstanze Und Kazim Holt
60edc270-0ea5-11ec-0fe5-57c102df8bfe,Lastschrift Aus Kartenzahlung,Nikolai Scholz
9d6fab10-5ba7-11ec-106d-e3a65c90a8ae,Jaroslav Dörschner,Jaroslav Dörschner
fb6b2ff0-40ef-11ec-f220-0ab150314f87,Deutsche Klassenlotterie Berlin Rechtsf Anstalt D Or,Toni Und Pirmin Pechel
db97c350-1f25-11ec-423c-c43b9cee65e7,Ga Nr00002016 Blz83050200 1,Calogero Martin
c9862220-57b9-11ec-33ce-d015493f7a74,Stilla Regina Rust,Stilla Regina Rust
37f11030-8df2-11ec-8598-d30c4410bdc0,01588 Mcdonalds,Ayten Siering
c0349c40-7403-11ec-3ad4-a7f84f73d99d,Sparkasse Muenchen,Till Schuchhardt
4bb81b00-50a7-11ec-25dc-a61f8b89189c,Iwan Und Hedi Sager,Iwan Und Hedi Sager
3999bafb-b837-4f38-b495-0561b6a82ab6,Viola Immobilien,Georgios Berger
0c205cf0-0d13-11ec-206d-53db8d3722d6,Bundeskasse Dienstort Weiden,Margarita Gröttner
54b53710-b92a-11ec-ef08-3053ae383771,Tankstelle,Vincenzo Mangold
d277fbd0-3b6f-11ec-93d2-417702536796,Cornelia Kroker,Cornelia Kroker
a811be40-3aa6-11ec-c1c7-fb016787d3c1,Kuno Doe,Fredy Tintzmann
63c945c0-8a04-11ec-ef9f-07dd468b4728,Worldpay,Elzbieta Ackermann
a7dd3880-bf73-11ec-a42c-273b2ca91064,Elena Apollonia Sibel Rädel,Hermann Mangold
d70a2980-2d4a-11ec-be43-ddd3bb8b2936,Sparkasse Muenchen,Fredy Tintzmann
69e56040-7728-11ec-01d6-3a2e2dafa3f3,Myshisha St Schuchhardt,Wolfgang Bloch
30464df0-a585-11ec-64e3-207ef1e02ecf,Flatex Jungfer,Till Schuchhardt
471c7770-5ecc-11ec-d7df-20e1df5570bc,Alfred Konstantin Ruppersberger,Alfred Ruppersberger
a81a70d0-3aa6-11ec-f1b4-32f4f24c32f5,Santander Consumer Bank Ag,Eugenia Putz
22d9ce70-4b27-11ec-c152-00df91d0c3d8,Stilla Regina Rust,Stilla Regina Rust
d284cd10-3b6f-11ec-d865-152cf07e51a7,Wuertt Versicherg Ag,Lydia Drub
83bf5dd0-2701-11ec-0c8b-babb00f7eed6,A T U Auto Teile Wende,Lydia Drub
2ee83450-256f-11ec-e4ab-c91efb815673,,Gabriele Börner
e0a71c16-9685-45e7-96b1-098f532c1e7f,Bundesagentur Hanne Arbeit Service Mans,Georgios Berger
1b407150-62ba-11ec-ff12-b827c2091bcf,Ga Nr00002018 Blz83050200 0,Calogero Martin
37db6550-8df2-11ec-19cb-8cf8180801dd,Wuestenrot Bausparkasse A G,Till Schuchhardt
c42e4fbc-0f69-4d41-a3bb-05a1bdb942b8,Deutsche Irmengard Berlin,Maren Hecker
053b3abb-47b9-4b44-a05f-bf727577a5bf,Bundesagentur Rudolf Arbeit Service Spieß,Lucia Hertrampf
4ebed540-4739-11ec-75bd-d3c6275ef08c,"Amazon Eu S A R L , Niederlassung Deutschland",Carmine Und Peggy Schinke
4bc3b3c0-50a7-11ec-fd76-6da13f6cb412,Petz Rewe Gmbh,Stilla Regina Rust
bec42ae0-78ba-11ec-ead4-48fa4b084b19,Alice Adeline Sibylle Hans-Karl Van Der Dussen,Alice Adeline Sibylle Hans-Karl Van Der Dussen
84e168e1-0b31-4d29-a82c-9977120a2aa7,Techniker Krankenkasse,Reingard Henk
4bb4e6b0-50a7-11ec-90a1-2ed9e01dd41e,Robin Depot,Eugenia Putz
